Player,Nation,Team,Pos,Age,MP,Starts,Min,Goals,Assists,Yellow_Card,Red_Card,stand_xG,xAG,PrgC,PrgP,PrgR,Gls,Ast,xG,xGA,GA90,Save%,CS%,PKsv%,SoT%,SoT/90,G/Sh,Dist,Cmp,Cmp%,TotDist,Short_Cmp%,Medium_Cmp%,KP,1/3,PPA,CrsPA,PrgP_passing,SCA,SCA90,GCA,GCA90,Tkl,TklW,Att,Lost,Blocks,Sh,Pass,Int,Touches,Def_Pen,Def_3rd,Mid_3rd,Att_3rd,Att_Pen,Att_take_ons,Succ%,Tkld%,Carries,ProDist,ProgC,1/3_carries,CPA,Mis,Dis,Rec,PrgR_possession,Fls,Fld,Off,Crs,Recov,Won,Won%,Available_Data_Count
Ali Al Hamadi,iq IRQ,Ipswich Town,FW,23-057,11.0,0.0,134.0,0.0,0.0,3.0,0.0,0.4,0.1,4.0,3.0,14.0,0.0,0.0,0.24,0.05,N/a,N/a,N/a,N/a,0.0,0.0,0.0,15.7,30.0,83.3,278.0,87.0,71.4,2.0,0.0,0.0,0.0,3.0,8.0,5.37,0.0,0.0,1.0,0.0,2.0,9.0,0.0,0.0,0.0,0.0,53.0,2.0,6.0,20.0,30.0,9.0,7.0,57.1,42.9,29.0,111.0,4.0,3.0,4.0,7.0,4.0,36.0,14.0,8.0,3.0,1.0,0.0,4.0,5.0,35.7,72
Alisson,br BRA,Liverpool,GK,32-207,23.0,23.0,2058.0,0.0,0.0,0.0,0.0,0.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.83,72.1,39.1,N/a,N/a,0.0,N/a,N/a,716.0,82.4,13140.0,98.9,98.4,1.0,10.0,0.0,0.0,0.0,6.0,0.26,1.0,0.04,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,758.0,551.0,743.0,15.0,0.0,0.0,1.0,100.0,0.0,484.0,1136.0,0.0,0.0,0.0,1.0,0.0,454.0,0.0,0.0,2.0,0.0,0.0,41.0,6.0,100.0,72
Alphonse Areola,fr FRA,West Ham,GK,32-059,23.0,22.0,1990.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.72,63.1,18.2,N/a,N/a,0.0,N/a,N/a,874.0,70.5,16485.0,99.2,95.3,0.0,9.0,0.0,0.0,0.0,3.0,0.14,0.0,0.0,2.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,928.0,742.0,919.0,10.0,0.0,0.0,0.0,N/a,N/a,522.0,1172.0,0.0,0.0,0.0,0.0,0.0,480.0,0.0,0.0,0.0,0.0,0.0,27.0,2.0,100.0,70
Amad Diallo,ci CIV,Manchester Utd,"FW,MF",22-290,22.0,17.0,1594.0,6.0,6.0,3.0,0.0,4.1,3.9,92.0,53.0,159.0,0.34,0.34,0.23,0.22,N/a,N/a,N/a,N/a,32.5,0.73,0.15,17.7,794.0,82.9,9051.0,90.4,85.3,39.0,25.0,29.0,5.0,53.0,80.0,4.52,16.0,0.9,33.0,26.0,26.0,15.0,10.0,0.0,10.0,11.0,1012.0,13.0,150.0,374.0,504.0,109.0,72.0,50.0,44.4,656.0,2294.0,92.0,46.0,52.0,35.0,32.0,714.0,159.0,19.0,23.0,9.0,38.0,93.0,9.0,37.5,72
Amadou Onana,be BEL,Aston Villa,MF,23-254,22.0,17.0,1348.0,3.0,0.0,4.0,0.0,2.1,0.3,20.0,58.0,13.0,0.2,0.0,0.14,0.02,N/a,N/a,N/a,N/a,35.3,0.4,0.18,14.7,666.0,88.4,9251.0,94.4,89.9,7.0,52.0,8.0,1.0,58.0,25.0,1.67,4.0,0.27,46.0,24.0,24.0,18.0,14.0,6.0,8.0,24.0,836.0,60.0,227.0,490.0,132.0,20.0,17.0,64.7,17.6,459.0,1237.0,20.0,20.0,1.0,10.0,9.0,563.0,13.0,30.0,23.0,0.0,1.0,64.0,25.0,58.1,72
Andreas Pereira,br BRA,Fulham,MF,29-116,31.0,23.0,1879.0,2.0,4.0,7.0,0.0,3.5,4.5,27.0,99.0,78.0,0.1,0.19,0.17,0.21,N/a,N/a,N/a,N/a,22.9,0.38,0.06,22.1,931.0,68.9,11658.0,83.6,78.3,56.0,64.0,19.0,4.0,99.0,101.0,4.84,8.0,0.38,22.0,12.0,40.0,22.0,16.0,2.0,14.0,8.0,1096.0,17.0,156.0,446.0,511.0,39.0,29.0,44.8,27.6,556.0,1266.0,27.0,35.0,8.0,26.0,21.0,648.0,78.0,27.0,23.0,1.0,168.0,97.0,12.0,35.3,72
Andrew Robertson,sct SCO,Liverpool,DF,31-047,30.0,26.0,2218.0,0.0,0.0,3.0,1.0,0.9,4.1,57.0,163.0,90.0,0.0,0.0,0.04,0.17,N/a,N/a,N/a,N/a,16.7,0.08,0.0,15.0,1688.0,83.2,23582.0,94.4,87.0,38.0,139.0,27.0,15.0,163.0,73.0,2.96,3.0,0.12,38.0,22.0,47.0,12.0,9.0,4.0,5.0,20.0,1877.0,85.0,475.0,856.0,559.0,47.0,18.0,38.9,55.6,998.0,2541.0,57.0,48.0,6.0,24.0,10.0,1255.0,90.0,10.0,7.0,2.0,131.0,89.0,6.0,33.3,72
André,br BRA,Wolves,MF,23-285,29.0,27.0,2170.0,0.0,0.0,7.0,0.0,0.4,0.7,8.0,92.0,11.0,0.0,0.0,0.01,0.03,N/a,N/a,N/a,N/a,12.5,0.04,0.0,25.8,1159.0,92.7,16927.0,95.3,95.0,14.0,97.0,4.0,0.0,92.0,43.0,1.78,3.0,0.12,75.0,45.0,54.0,6.0,41.0,8.0,33.0,31.0,1403.0,80.0,380.0,908.0,130.0,3.0,27.0,48.1,37.0,767.0,1391.0,8.0,15.0,0.0,27.0,16.0,939.0,11.0,34.0,32.0,0.0,0.0,173.0,2.0,25.0,72
André Onana,cm CMR,Manchester Utd,GK,29-025,32.0,32.0,2880.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,1.0,0.0,0.0,0.0,0.0,0.01,1.31,69.5,28.1,25.0,N/a,0.0,N/a,N/a,1222.0,73.0,21204.0,99.1,99.0,1.0,23.0,0.0,0.0,1.0,4.0,0.12,0.0,0.0,1.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,1286.0,975.0,1265.0,22.0,0.0,0.0,0.0,N/a,N/a,912.0,2579.0,0.0,0.0,0.0,1.0,0.0,791.0,0.0,0.0,2.0,0.0,0.0,30.0,6.0,100.0,71
Andrés García,es ESP,Aston Villa,"DF,MF",22-079,7.0,5.0,318.0,0.0,0.0,0.0,0.0,0.0,0.2,26.0,15.0,28.0,0.0,0.0,0.01,0.05,N/a,N/a,N/a,N/a,0.0,0.0,0.0,26.6,201.0,86.6,2725.0,92.7,90.2,3.0,9.0,8.0,5.0,15.0,3.0,0.85,0.0,0.0,9.0,5.0,8.0,6.0,2.0,0.0,2.0,2.0,256.0,8.0,38.0,108.0,112.0,2.0,18.0,27.8,66.7,159.0,673.0,26.0,13.0,2.0,10.0,6.0,168.0,28.0,1.0,0.0,0.0,18.0,15.0,0.0,0.0,72
