Player,Nation,Team,Pos,Age,MP,Starts,Min,Goals,Assists,Yellow_Card,Red_Card,stand_xG,xAG,PrgC,PrgP,PrgR,Gls,Ast,xG,xGA,GA90,Save%,CS%,PKsv%,SoT%,SoT/90,G/Sh,Dist,Cmp,Cmp%,TotDist,Short_Cmp%,Medium_Cmp%,KP,1/3,PPA,CrsPA,PrgP_passing,SCA,SCA90,GCA,GCA90,Tkl,TklW,Att,Lost,Blocks,Sh,Pass,Int,Touches,Def_Pen,Def_3rd,Mid_3rd,Att_3rd,Att_Pen,Att_take_ons,Succ%,Tkld%,Carries,ProDist,ProgC,1/3_carries,CPA,Mis,Dis,Rec,PrgR_possession,Fls,Fld,Off,Crs,Recov,Won,Won%,Available_Data_Count,ETV
Dejan Kulusevski,se SWE,Tottenham,"MF,FW",25-004,30.0,25.0,2281.0,7.0,4.0,3.0,0.0,4.2,6.1,118.0,122.0,207.0,0.28,0.16,0.17,0.24,N/a,N/a,N/a,N/a,37.0,0.67,0.15,14.8,872.0,73.9,9046.0,86.2,78.1,64.0,61.0,52.0,6.0,122.0,125.0,4.93,9.0,0.35,43.0,23.0,49.0,14.0,27.0,4.0,23.0,13.0,1233.0,21.0,143.0,413.0,701.0,154.0,111.0,33.3,59.5,801.0,3164.0,118.0,67.0,39.0,74.0,72.0,874.0,207.0,43.0,33.0,5.0,88.0,115.0,10.0,41.7,72,€60.5M
Destiny Udogie,it ITA,Tottenham,DF,22-152,24.0,23.0,1834.0,0.0,1.0,2.0,0.0,0.3,1.5,54.0,120.0,93.0,0.0,0.05,0.01,0.07,N/a,N/a,N/a,N/a,20.0,0.05,0.0,15.1,1084.0,87.4,13710.0,91.3,90.4,16.0,88.0,6.0,1.0,120.0,35.0,1.72,3.0,0.15,74.0,47.0,47.0,13.0,40.0,6.0,34.0,21.0,1336.0,60.0,377.0,591.0,383.0,49.0,32.0,40.6,50.0,735.0,2290.0,54.0,39.0,12.0,32.0,19.0,796.0,93.0,29.0,38.0,2.0,19.0,109.0,13.0,50.0,72,€59.4M
Diogo Dalot,pt POR,Manchester Utd,DF,26-042,32.0,31.0,2788.0,0.0,3.0,5.0,0.0,2.0,2.0,62.0,102.0,164.0,0.0,0.1,0.06,0.07,N/a,N/a,N/a,N/a,21.7,0.16,0.0,15.6,1659.0,80.5,21497.0,89.9,81.9,26.0,61.0,25.0,8.0,102.0,74.0,2.39,5.0,0.16,67.0,39.0,52.0,21.0,22.0,9.0,13.0,37.0,1965.0,113.0,658.0,767.0,557.0,66.0,53.0,50.9,41.5,1111.0,2684.0,62.0,37.0,16.0,37.0,21.0,1186.0,164.0,40.0,9.0,4.0,65.0,164.0,38.0,64.4,72,€37.4M
Diogo Jota,pt POR,Liverpool,FW,28-146,23.0,13.0,1097.0,6.0,3.0,2.0,0.0,7.3,1.8,36.0,33.0,86.0,0.49,0.25,0.6,0.15,N/a,N/a,N/a,N/a,28.3,1.07,0.13,12.5,289.0,69.6,3050.0,76.1,74.2,11.0,29.0,3.0,1.0,33.0,35.0,2.87,9.0,0.74,14.0,8.0,19.0,30.0,9.0,0.0,9.0,7.0,448.0,5.0,30.0,185.0,240.0,90.0,30.0,36.7,60.0,247.0,753.0,36.0,21.0,20.0,36.0,21.0,311.0,86.0,18.0,12.0,1.0,8.0,40.0,21.0,41.2,72,€58.6M
Djed Spence,eng ENG,Tottenham,DF,24-263,21.0,16.0,1514.0,1.0,2.0,4.0,1.0,0.6,1.7,53.0,98.0,68.0,0.06,0.12,0.03,0.1,N/a,N/a,N/a,N/a,30.0,0.18,0.1,23.9,1017.0,86.0,12585.0,93.6,86.8,10.0,73.0,17.0,7.0,98.0,26.0,1.55,5.0,0.3,39.0,30.0,25.0,12.0,22.0,9.0,13.0,17.0,1234.0,67.0,415.0,562.0,277.0,24.0,69.0,49.3,40.6,709.0,2295.0,53.0,40.0,7.0,25.0,27.0,776.0,68.0,19.0,23.0,2.0,23.0,91.0,17.0,58.6,72,€19.8M
Dominic Calvert-Lewin,eng ENG,Everton,FW,28-044,22.0,19.0,1574.0,3.0,1.0,2.0,0.0,6.1,0.6,22.0,19.0,105.0,0.17,0.06,0.35,0.04,N/a,N/a,N/a,N/a,37.0,0.97,0.07,12.3,278.0,62.6,2035.0,70.0,58.3,7.0,19.0,5.0,1.0,19.0,25.0,1.43,4.0,0.23,9.0,7.0,6.0,79.0,6.0,2.0,4.0,6.0,491.0,21.0,38.0,204.0,254.0,82.0,25.0,40.0,52.0,268.0,444.0,22.0,8.0,16.0,71.0,32.0,402.0,105.0,27.0,22.0,27.0,6.0,32.0,83.0,51.2,72,€17.8M
Dominic Solanke,eng ENG,Tottenham,FW,27-227,25.0,24.0,2119.0,8.0,3.0,0.0,0.0,10.1,2.9,29.0,45.0,88.0,0.34,0.13,0.43,0.13,N/a,N/a,N/a,N/a,40.7,1.02,0.14,12.1,352.0,71.0,3344.0,76.1,77.1,14.0,27.0,9.0,0.0,45.0,37.0,1.57,8.0,0.34,18.0,11.0,14.0,59.0,18.0,7.0,11.0,0.0,636.0,31.0,68.0,290.0,284.0,111.0,50.0,32.0,62.0,374.0,803.0,29.0,21.0,14.0,67.0,47.0,448.0,88.0,36.0,36.0,5.0,4.0,37.0,44.0,42.7,72,€52.1M
Dominik Szoboszlai,hu HUN,Liverpool,MF,24-186,32.0,26.0,2257.0,5.0,5.0,6.0,0.0,7.1,6.2,65.0,114.0,120.0,0.2,0.2,0.28,0.25,N/a,N/a,N/a,N/a,32.3,0.8,0.08,18.5,1201.0,84.5,15678.0,89.2,88.1,51.0,78.0,31.0,5.0,114.0,108.0,4.31,14.0,0.56,31.0,20.0,39.0,22.0,35.0,4.0,31.0,9.0,1435.0,23.0,183.0,696.0,574.0,96.0,35.0,54.3,37.1,732.0,2101.0,65.0,46.0,17.0,34.0,21.0,980.0,120.0,37.0,23.0,4.0,34.0,120.0,18.0,45.0,72,€71.4M
Dwight McNeil,eng ENG,Everton,"MF,FW",25-158,17.0,13.0,1185.0,3.0,4.0,1.0,0.0,1.1,3.8,32.0,61.0,68.0,0.23,0.3,0.08,0.29,N/a,N/a,N/a,N/a,37.5,0.68,0.13,21.6,534.0,73.0,7325.0,86.2,81.1,33.0,35.0,33.0,10.0,61.0,62.0,4.71,7.0,0.53,11.0,6.0,19.0,14.0,7.0,0.0,7.0,5.0,645.0,3.0,65.0,280.0,315.0,22.0,38.0,55.3,42.1,374.0,970.0,32.0,29.0,4.0,22.0,28.0,435.0,68.0,6.0,14.0,1.0,92.0,65.0,3.0,17.6,72,€27M
Eberechi Eze,eng ENG,Crystal Palace,"MF,FW",26-304,30.0,28.0,2337.0,4.0,8.0,1.0,0.0,8.2,5.2,65.0,85.0,141.0,0.15,0.31,0.31,0.2,N/a,N/a,N/a,N/a,25.8,0.92,0.04,21.5,948.0,74.6,11848.0,85.3,83.4,53.0,46.0,32.0,3.0,85.0,119.0,4.58,9.0,0.35,37.0,22.0,35.0,36.0,26.0,0.0,26.0,11.0,1289.0,15.0,172.0,611.0,537.0,86.0,125.0,48.8,45.6,771.0,2178.0,65.0,43.0,21.0,52.0,44.0,840.0,141.0,11.0,46.0,9.0,100.0,128.0,6.0,14.3,72,€62.2M
Ederson,br BRA,Manchester City,GK,31-255,22.0,22.0,1960.0,0.0,4.0,3.0,0.0,0.0,1.5,0.0,1.0,0.0,0.0,0.18,0.0,0.07,1.15,68.5,31.8,0.0,N/a,0.0,N/a,N/a,787.0,88.1,17056.0,100.0,98.3,4.0,20.0,1.0,0.0,1.0,6.0,0.28,4.0,0.18,0.0,0.0,2.0,1.0,0.0,0.0,0.0,1.0,833.0,587.0,824.0,9.0,0.0,0.0,0.0,N/a,N/a,563.0,1671.0,0.0,0.0,0.0,1.0,0.0,529.0,0.0,1.0,0.0,0.0,0.0,37.0,4.0,80.0,71,€19.1M
Edson Álvarez,mx MEX,West Ham,MF,27-187,25.0,19.0,1633.0,0.0,1.0,8.0,1.0,0.3,0.8,21.0,75.0,18.0,0.0,0.06,0.02,0.04,N/a,N/a,N/a,N/a,9.1,0.06,0.0,26.7,890.0,85.7,12894.0,88.8,89.7,11.0,80.0,11.0,3.0,75.0,25.0,1.38,2.0,0.11,44.0,23.0,33.0,20.0,21.0,8.0,13.0,16.0,1101.0,61.0,323.0,612.0,174.0,12.0,31.0,45.2,38.7,603.0,1528.0,21.0,20.0,2.0,25.0,13.0,734.0,18.0,37.0,18.0,4.0,6.0,78.0,28.0,58.3,72,€36.5M
Elliot Anderson,eng ENG,Nott'ham Forest,MF,22-174,32.0,28.0,2317.0,2.0,6.0,6.0,0.0,1.7,3.1,37.0,115.0,78.0,0.08,0.23,0.06,0.12,N/a,N/a,N/a,N/a,17.6,0.23,0.06,19.9,1109.0,77.8,13736.0,89.1,80.1,34.0,90.0,17.0,2.0,115.0,75.0,2.91,10.0,0.39,78.0,50.0,93.0,21.0,41.0,8.0,33.0,26.0,1480.0,88.0,354.0,694.0,460.0,55.0,68.0,50.0,38.2,740.0,1868.0,37.0,27.0,15.0,52.0,36.0,869.0,78.0,37.0,54.0,4.0,70.0,177.0,42.0,66.7,72,€46.5M
Emerson Palmieri,it ITA,West Ham,DF,30-269,29.0,25.0,2015.0,2.0,1.0,5.0,0.0,2.0,1.5,44.0,64.0,82.0,0.09,0.04,0.09,0.07,N/a,N/a,N/a,N/a,43.8,0.31,0.13,19.0,1035.0,79.9,12096.0,89.8,81.2,16.0,49.0,13.0,5.0,64.0,41.0,1.83,2.0,0.09,57.0,29.0,44.0,18.0,32.0,8.0,24.0,20.0,1277.0,82.0,412.0,532.0,348.0,27.0,30.0,33.3,56.7,533.0,1666.0,44.0,25.0,8.0,24.0,7.0,713.0,82.0,24.0,13.0,0.0,63.0,84.0,16.0,47.1,72,€12.6M
Emile Smith Rowe,eng ENG,Fulham,MF,24-275,30.0,23.0,1852.0,6.0,2.0,2.0,0.0,4.4,1.1,50.0,120.0,113.0,0.29,0.1,0.21,0.05,N/a,N/a,N/a,N/a,29.4,0.49,0.18,15.4,927.0,90.0,11939.0,92.0,95.4,18.0,74.0,15.0,1.0,120.0,65.0,3.16,11.0,0.53,30.0,17.0,24.0,17.0,20.0,2.0,18.0,11.0,1112.0,20.0,153.0,525.0,444.0,55.0,33.0,48.5,45.5,721.0,1832.0,50.0,38.0,11.0,32.0,13.0,853.0,113.0,17.0,12.0,4.0,13.0,69.0,6.0,26.1,72,€40.8M
Emiliano Martínez,ar ARG,Aston Villa,GK,32-239,33.0,33.0,2880.0,0.0,0.0,4.0,0.0,0.0,0.5,0.0,3.0,0.0,0.0,0.0,0.0,0.02,1.41,65.9,15.2,50.0,N/a,0.0,N/a,N/a,1248.0,79.0,25707.0,97.8,98.1,2.0,21.0,0.0,0.0,3.0,6.0,0.19,1.0,0.03,3.0,3.0,2.0,1.0,1.0,0.0,1.0,0.0,1307.0,990.0,1292.0,15.0,0.0,0.0,1.0,100.0,0.0,794.0,2586.0,0.0,0.0,0.0,1.0,0.0,718.0,0.0,1.0,5.0,0.0,0.0,28.0,8.0,88.9,73,€17.5M
Emmanuel Agbadou,ci CIV,Wolves,DF,27-316,12.0,12.0,1050.0,0.0,0.0,2.0,0.0,0.3,0.2,3.0,21.0,1.0,0.0,0.0,0.02,0.02,N/a,N/a,N/a,N/a,16.7,0.09,0.0,31.8,707.0,84.4,12223.0,91.7,92.3,4.0,23.0,1.0,0.0,21.0,15.0,1.29,2.0,0.17,25.0,17.0,17.0,15.0,15.0,11.0,4.0,9.0,844.0,137.0,473.0,355.0,22.0,5.0,10.0,70.0,20.0,508.0,1085.0,3.0,3.0,0.0,3.0,3.0,549.0,1.0,5.0,4.0,1.0,1.0,63.0,22.0,59.5,72,€18M
Enzo Fernández,ar ARG,Chelsea,MF,24-102,32.0,28.0,2590.0,5.0,7.0,7.0,0.0,5.4,6.3,57.0,196.0,115.0,0.17,0.24,0.19,0.22,N/a,N/a,N/a,N/a,36.7,0.63,0.1,18.6,1746.0,80.0,24772.0,88.8,84.9,71.0,155.0,39.0,7.0,196.0,137.0,4.76,16.0,0.56,61.0,30.0,78.0,27.0,32.0,5.0,27.0,11.0,2021.0,32.0,309.0,1027.0,698.0,73.0,46.0,45.7,39.1,1115.0,2529.0,57.0,53.0,8.0,27.0,27.0,1487.0,115.0,45.0,47.0,1.0,103.0,141.0,13.0,32.5,72,€73.7M
Erling Haaland,no NOR,Manchester City,FW,24-282,28.0,28.0,2480.0,21.0,3.0,2.0,0.0,20.8,2.8,19.0,18.0,103.0,0.76,0.11,0.76,0.1,N/a,N/a,N/a,N/a,54.5,1.96,0.19,12.2,341.0,66.0,2706.0,70.6,66.7,26.0,9.0,7.0,1.0,18.0,62.0,2.25,9.0,0.33,9.0,5.0,6.0,45.0,11.0,1.0,10.0,5.0,578.0,22.0,39.0,200.0,344.0,170.0,32.0,34.4,59.4,272.0,478.0,19.0,14.0,19.0,39.0,25.0,427.0,103.0,22.0,12.0,4.0,3.0,29.0,49.0,52.1,72,€198.8M
Ethan Pinnock,jm JAM,Brentford,DF,31-335,22.0,21.0,1913.0,2.0,0.0,2.0,0.0,1.1,1.2,3.0,41.0,9.0,0.09,0.0,0.05,0.05,N/a,N/a,N/a,N/a,60.0,0.28,0.2,11.1,1080.0,85.6,17045.0,94.2,89.4,8.0,48.0,4.0,1.0,41.0,21.0,0.99,0.0,0.0,35.0,19.0,24.0,43.0,29.0,18.0,11.0,24.0,1348.0,294.0,783.0,457.0,109.0,24.0,9.0,33.3,66.7,633.0,1633.0,3.0,4.0,0.0,2.0,4.0,760.0,9.0,8.0,4.0,0.0,9.0,50.0,63.0,59.4,72,€7.6M
Evanilson,br BRA,Bournemouth,FW,25-205,27.0,24.0,1972.0,9.0,1.0,0.0,1.0,11.0,1.6,26.0,19.0,87.0,0.41,0.05,0.5,0.07,N/a,N/a,N/a,N/a,45.2,1.28,0.15,12.9,291.0,69.1,2409.0,74.6,70.7,23.0,14.0,2.0,0.0,19.0,56.0,2.56,8.0,0.37,14.0,9.0,10.0,56.0,10.0,2.0,8.0,0.0,479.0,22.0,49.0,183.0,250.0,113.0,19.0,31.6,36.8,279.0,734.0,26.0,15.0,14.0,31.0,22.0,337.0,87.0,31.0,43.0,17.0,0.0,56.0,38.0,40.4,72,€26.9M
Ezri Konsa,eng ENG,Aston Villa,DF,27-188,30.0,29.0,2576.0,1.0,0.0,0.0,0.0,0.9,0.4,16.0,73.0,11.0,0.03,0.0,0.03,0.01,N/a,N/a,N/a,N/a,33.3,0.1,0.11,9.1,1480.0,92.7,22993.0,96.3,95.7,5.0,93.0,1.0,0.0,73.0,23.0,0.8,3.0,0.1,32.0,17.0,22.0,21.0,17.0,9.0,8.0,21.0,1693.0,213.0,795.0,807.0,99.0,20.0,17.0,41.2,41.2,986.0,2465.0,16.0,11.0,2.0,16.0,9.0,1177.0,11.0,6.0,42.0,0.0,5.0,86.0,27.0,56.3,72,€42.7M
Fabian Schär,ch SUI,Newcastle Utd,DF,33-130,30.0,29.0,2575.0,4.0,0.0,7.0,1.0,2.1,0.4,14.0,95.0,17.0,0.14,0.0,0.07,0.01,N/a,N/a,N/a,N/a,34.5,0.35,0.14,21.8,1744.0,83.6,29169.0,92.5,92.7,5.0,139.0,10.0,0.0,95.0,27.0,0.94,3.0,0.1,32.0,19.0,34.0,61.0,36.0,24.0,12.0,40.0,2034.0,237.0,1061.0,857.0,127.0,31.0,12.0,66.7,16.7,1284.0,3313.0,14.0,23.0,2.0,11.0,6.0,1417.0,17.0,31.0,12.0,4.0,9.0,123.0,40.0,39.6,72,€11M
Facundo Buonanotte,ar ARG,Leicester City,"FW,MF",20-127,29.0,14.0,1474.0,4.0,2.0,7.0,0.0,3.8,3.1,38.0,52.0,69.0,0.24,0.12,0.23,0.19,N/a,N/a,N/a,N/a,29.4,0.61,0.12,17.8,561.0,76.6,6782.0,85.7,81.9,24.0,40.0,13.0,2.0,52.0,50.0,3.05,4.0,0.24,53.0,32.0,67.0,35.0,32.0,6.0,26.0,11.0,850.0,26.0,127.0,436.0,300.0,36.0,79.0,32.9,62.0,465.0,1321.0,38.0,26.0,8.0,53.0,39.0,515.0,69.0,35.0,33.0,3.0,41.0,77.0,17.0,32.7,72,€30.7M
Flynn Downes,eng ENG,Southampton,MF,26-099,23.0,21.0,1791.0,1.0,0.0,10.0,0.0,0.6,1.1,24.0,59.0,28.0,0.05,0.0,0.03,0.05,N/a,N/a,N/a,N/a,30.0,0.15,0.1,18.7,948.0,89.8,12498.0,92.6,91.8,15.0,52.0,11.0,0.0,59.0,30.0,1.51,2.0,0.1,43.0,23.0,32.0,13.0,22.0,6.0,16.0,30.0,1136.0,76.0,343.0,605.0,197.0,20.0,14.0,35.7,50.0,540.0,1551.0,24.0,21.0,4.0,12.0,17.0,805.0,28.0,45.0,33.0,0.0,3.0,73.0,13.0,50.0,72,€9.2M
Gabriel Magalhães,br BRA,Arsenal,DF,27-131,28.0,28.0,2363.0,3.0,1.0,4.0,0.0,2.6,0.9,10.0,126.0,11.0,0.11,0.04,0.1,0.03,N/a,N/a,N/a,N/a,22.7,0.19,0.14,9.5,1641.0,90.2,25788.0,96.9,94.2,13.0,145.0,8.0,0.0,126.0,35.0,1.33,6.0,0.23,25.0,15.0,16.0,37.0,42.0,29.0,13.0,16.0,1873.0,189.0,672.0,985.0,225.0,40.0,5.0,80.0,20.0,1116.0,2669.0,10.0,22.0,0.0,9.0,2.0,1366.0,11.0,19.0,19.0,0.0,9.0,63.0,53.0,58.9,72,€75.5M
Gabriel Martinelli,br BRA,Arsenal,"FW,MF",23-315,29.0,21.0,1956.0,7.0,4.0,1.0,0.0,5.9,4.5,106.0,44.0,259.0,0.32,0.18,0.27,0.21,N/a,N/a,N/a,N/a,42.2,0.87,0.16,13.0,604.0,71.0,6240.0,83.1,69.2,34.0,10.0,30.0,13.0,44.0,61.0,2.81,6.0,0.28,19.0,14.0,22.0,29.0,10.0,0.0,10.0,4.0,860.0,15.0,83.0,218.0,571.0,162.0,103.0,29.1,55.3,576.0,2268.0,106.0,29.0,55.0,48.0,33.0,655.0,259.0,14.0,19.0,8.0,80.0,70.0,14.0,32.6,72,€62.6M
Georginio Rutter,fr FRA,Brighton,"MF,FW",23-009,28.0,19.0,1656.0,5.0,3.0,2.0,0.0,4.6,2.5,42.0,67.0,79.0,0.27,0.16,0.25,0.14,N/a,N/a,N/a,N/a,24.0,0.65,0.1,15.5,355.0,66.8,3344.0,77.0,66.7,19.0,30.0,16.0,1.0,67.0,64.0,3.47,8.0,0.43,39.0,15.0,36.0,46.0,20.0,3.0,17.0,10.0,641.0,20.0,83.0,246.0,326.0,79.0,71.0,38.0,47.9,361.0,1405.0,42.0,36.0,16.0,45.0,37.0,411.0,79.0,34.0,45.0,7.0,9.0,66.0,25.0,35.2,72,€41.3M
Guglielmo Vicario,it ITA,Tottenham,GK,28-204,22.0,22.0,1980.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.45,65.2,18.2,N/a,N/a,0.0,N/a,N/a,798.0,88.8,13716.0,99.1,97.3,0.0,1.0,0.0,0.0,1.0,4.0,0.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,848.0,568.0,830.0,18.0,0.0,0.0,1.0,100.0,0.0,606.0,1594.0,0.0,0.0,0.0,0.0,0.0,549.0,0.0,0.0,2.0,0.0,0.0,31.0,9.0,100.0,72,€41.6M
Guido Rodríguez,ar ARG,West Ham,MF,31-017,20.0,14.0,1018.0,0.0,0.0,5.0,0.0,0.2,0.1,2.0,31.0,5.0,0.0,0.0,0.02,0.01,N/a,N/a,N/a,N/a,12.5,0.09,0.0,27.8,498.0,84.1,7149.0,87.4,91.4,3.0,36.0,1.0,0.0,31.0,10.0,0.88,0.0,0.0,30.0,16.0,30.0,7.0,21.0,9.0,12.0,12.0,617.0,42.0,196.0,366.0,56.0,2.0,3.0,66.7,0.0,284.0,392.0,2.0,5.0,0.0,2.0,6.0,354.0,5.0,15.0,11.0,1.0,4.0,46.0,8.0,53.3,72,€13.6M
Harry Maguire,eng ENG,Manchester Utd,DF,32-055,23.0,17.0,1483.0,1.0,0.0,7.0,0.0,1.4,0.3,6.0,43.0,6.0,0.06,0.0,0.09,0.02,N/a,N/a,N/a,N/a,41.7,0.3,0.08,7.9,942.0,86.2,15170.0,91.8,91.0,6.0,42.0,3.0,0.0,43.0,17.0,1.03,0.0,0.0,26.0,13.0,17.0,21.0,14.0,12.0,2.0,37.0,1117.0,136.0,560.0,509.0,62.0,37.0,5.0,40.0,60.0,658.0,1644.0,6.0,6.0,3.0,6.0,2.0,722.0,6.0,17.0,8.0,1.0,2.0,53.0,51.0,70.8,72,€13.7M
Harry Wilson,wls WAL,Fulham,"FW,MF",28-038,21.0,9.0,937.0,5.0,1.0,2.0,0.0,3.2,1.1,16.0,46.0,79.0,0.48,0.1,0.31,0.1,N/a,N/a,N/a,N/a,31.0,0.86,0.17,17.7,379.0,73.6,4685.0,84.6,78.4,19.0,23.0,13.0,1.0,46.0,36.0,3.46,3.0,0.29,13.0,8.0,15.0,18.0,13.0,1.0,12.0,5.0,486.0,7.0,63.0,175.0,257.0,45.0,24.0,37.5,41.7,287.0,657.0,16.0,18.0,8.0,13.0,5.0,326.0,79.0,10.0,18.0,1.0,35.0,44.0,4.0,18.2,72,€14.5M
Harry Winks,eng ENG,Leicester City,MF,29-086,22.0,17.0,1538.0,0.0,2.0,4.0,0.0,0.2,1.2,19.0,101.0,11.0,0.0,0.12,0.01,0.07,N/a,N/a,N/a,N/a,40.0,0.23,0.0,29.2,1045.0,87.1,14101.0,92.2,91.2,17.0,110.0,7.0,5.0,101.0,39.0,2.28,3.0,0.18,24.0,11.0,30.0,6.0,19.0,7.0,12.0,9.0,1158.0,49.0,275.0,746.0,151.0,1.0,12.0,25.0,66.7,696.0,1522.0,19.0,13.0,0.0,13.0,8.0,827.0,11.0,9.0,13.0,0.0,34.0,106.0,8.0,57.1,72,€11.4M
Harvey Barnes,eng ENG,Newcastle Utd,FW,27-141,29.0,13.0,1413.0,9.0,4.0,0.0,0.0,6.3,3.7,74.0,69.0,159.0,0.57,0.25,0.4,0.24,N/a,N/a,N/a,N/a,30.8,1.02,0.17,14.7,507.0,79.3,5599.0,87.2,74.7,21.0,21.0,34.0,8.0,69.0,52.0,3.3,9.0,0.57,16.0,9.0,7.0,14.0,7.0,1.0,6.0,6.0,676.0,15.0,82.0,225.0,374.0,102.0,56.0,37.5,50.0,471.0,2026.0,74.0,38.0,41.0,24.0,18.0,538.0,159.0,10.0,18.0,4.0,37.0,46.0,5.0,26.3,72,€41.5M
Ibrahima Konaté,fr FRA,Liverpool,DF,25-339,28.0,27.0,2320.0,1.0,2.0,5.0,0.0,1.7,1.0,21.0,103.0,3.0,0.04,0.08,0.07,0.04,N/a,N/a,N/a,N/a,16.7,0.12,0.06,10.5,1751.0,90.3,29259.0,93.7,95.1,10.0,125.0,8.0,0.0,103.0,30.0,1.16,7.0,0.27,36.0,25.0,34.0,28.0,27.0,15.0,12.0,12.0,2005.0,211.0,854.0,1047.0,110.0,22.0,4.0,50.0,25.0,1184.0,3160.0,21.0,13.0,0.0,8.0,2.0,1454.0,3.0,26.0,18.0,0.0,0.0,86.0,72.0,72.0,72,€57.2M
Idrissa Gana Gueye,sn SEN,Everton,MF,35-215,33.0,31.0,2705.0,0.0,3.0,8.0,0.0,1.1,1.7,24.0,126.0,23.0,0.0,0.1,0.04,0.06,N/a,N/a,N/a,N/a,18.5,0.17,0.0,25.2,1228.0,86.5,18071.0,90.7,90.5,19.0,130.0,10.0,3.0,126.0,56.0,1.86,3.0,0.1,123.0,74.0,87.0,15.0,44.0,9.0,35.0,41.0,1571.0,68.0,382.0,891.0,307.0,19.0,36.0,47.2,47.2,732.0,1501.0,24.0,25.0,4.0,30.0,33.0,895.0,23.0,51.0,39.0,0.0,7.0,177.0,22.0,59.5,72,€5M
Igor,br BRA,Brighton,DF,27-081,12.0,9.0,903.0,0.0,0.0,4.0,0.0,0.0,0.2,9.0,44.0,0.0,0.0,0.0,0.0,0.02,N/a,N/a,N/a,N/a,0.0,0.0,0.0,14.1,682.0,92.1,11358.0,96.5,95.2,1.0,35.0,2.0,1.0,44.0,11.0,1.1,0.0,0.0,4.0,4.0,10.0,6.0,23.0,14.0,9.0,4.0,764.0,109.0,377.0,353.0,38.0,1.0,4.0,75.0,25.0,497.0,1782.0,9.0,14.0,0.0,1.0,0.0,568.0,0.0,9.0,6.0,0.0,2.0,40.0,8.0,57.1,72,€25M
Iliman Ndiaye,sn SEN,Everton,FW,25-054,29.0,26.0,2162.0,7.0,0.0,3.0,0.0,5.2,1.6,79.0,45.0,106.0,0.29,0.0,0.22,0.07,N/a,N/a,N/a,N/a,41.9,0.54,0.16,17.3,638.0,80.6,7768.0,86.0,85.8,17.0,34.0,14.0,5.0,45.0,58.0,2.42,5.0,0.21,47.0,25.0,44.0,17.0,25.0,4.0,21.0,17.0,956.0,32.0,197.0,397.0,410.0,74.0,134.0,45.5,47.0,552.0,2169.0,79.0,40.0,29.0,48.0,38.0,582.0,106.0,21.0,46.0,5.0,35.0,160.0,5.0,22.7,72,€25.7M
Illia Zabarnyi,ua UKR,Bournemouth,DF,22-240,32.0,31.0,2752.0,0.0,0.0,3.0,1.0,1.1,0.6,24.0,125.0,4.0,0.0,0.0,0.03,0.02,N/a,N/a,N/a,N/a,0.0,0.0,0.0,9.8,1495.0,81.3,25696.0,90.1,90.6,11.0,131.0,6.0,0.0,125.0,28.0,0.92,0.0,0.0,46.0,32.0,43.0,40.0,33.0,20.0,13.0,35.0,1809.0,214.0,842.0,920.0,67.0,13.0,8.0,62.5,25.0,1124.0,4327.0,24.0,20.0,0.0,14.0,3.0,1128.0,4.0,17.0,6.0,0.0,5.0,140.0,70.0,63.6,72,€58.8M
Ismaila Sarr,sn SEN,Crystal Palace,"MF,FW",27-063,34.0,26.0,2392.0,7.0,4.0,4.0,0.0,8.7,7.0,67.0,76.0,164.0,0.26,0.15,0.33,0.26,N/a,N/a,N/a,N/a,50.0,0.9,0.15,13.3,658.0,66.6,6582.0,74.8,70.8,37.0,26.0,36.0,8.0,76.0,97.0,3.65,9.0,0.34,21.0,10.0,23.0,46.0,22.0,7.0,15.0,8.0,954.0,39.0,156.0,367.0,441.0,118.0,51.0,29.4,52.9,526.0,1855.0,67.0,42.0,26.0,61.0,41.0,650.0,164.0,12.0,49.0,11.0,50.0,99.0,31.0,40.3,72,€25.7M
Issa Diop,fr FRA,Fulham,DF,28-110,21.0,15.0,1339.0,0.0,0.0,2.0,0.0,0.5,0.1,6.0,25.0,3.0,0.0,0.0,0.04,0.01,N/a,N/a,N/a,N/a,40.0,0.13,0.0,10.7,758.0,87.5,12350.0,92.5,92.9,3.0,43.0,1.0,0.0,25.0,6.0,0.4,0.0,0.0,26.0,12.0,18.0,12.0,10.0,7.0,3.0,9.0,903.0,125.0,498.0,381.0,26.0,13.0,2.0,50.0,50.0,533.0,1216.0,6.0,2.0,0.0,9.0,2.0,617.0,3.0,10.0,4.0,0.0,1.0,45.0,20.0,62.5,72,€17.9M
