Player,Nation,Team,Pos,Age,MP,Starts,Min,Goals,Assists,Yellow_Card,Red_Card,stand_xG,xAG,PrgC,PrgP,PrgR,Gls,Ast,xG,xGA,GA90,Save%,CS%,PKsv%,SoT%,SoT/90,G/Sh,Dist,Cmp,Cmp%,TotDist,Short_Cmp%,Medium_Cmp%,KP,1/3,PPA,CrsPA,PrgP_passing,SCA,SCA90,GCA,GCA90,Tkl,TklW,Att,Lost,Blocks,Sh,Pass,Int,Touches,Def_Pen,Def_3rd,Mid_3rd,Att_3rd,Att_Pen,Att_take_ons,Succ%,Tkld%,Carries,ProDist,ProgC,1/3_carries,CPA,Mis,Dis,Rec,PrgR_possession,Fls,Fld,Off,Crs,Recov,Won,Won%,Available_Data_Count,ETV
Anthony Gordon,eng ENG,Newcastle Utd,FW,24-064,30.0,25.0,2200.0,6.0,5.0,2.0,0.0,8.0,4.9,109.0,92.0,194.0,0.25,0.2,0.33,0.2,N/a,N/a,N/a,N/a,29.1,0.65,0.09,16.6,904.0,73.1,10125.0,86.1,77.7,50.0,59.0,50.0,16.0,92.0,98.0,4.01,12.0,0.49,31.0,17.0,34.0,7.0,24.0,2.0,22.0,6.0,1165.0,16.0,115.0,439.0,630.0,123.0,96.0,36.5,46.9,748.0,2978.0,109.0,55.0,55.0,28.0,35.0,838.0,194.0,19.0,62.0,8.0,120.0,92.0,5.0,41.7,72,€49.5M
Antoine Semenyo,gh GHA,Bournemouth,FW,25-112,33.0,33.0,2907.0,9.0,4.0,9.0,0.0,9.3,5.7,132.0,106.0,259.0,0.28,0.12,0.29,0.18,N/a,N/a,N/a,N/a,31.4,1.15,0.08,17.2,993.0,73.3,10406.0,84.9,76.6,44.0,48.0,44.0,8.0,106.0,122.0,3.78,12.0,0.37,53.0,34.0,42.0,72.0,59.0,8.0,51.0,10.0,1485.0,44.0,181.0,520.0,817.0,176.0,123.0,52.0,40.7,898.0,3357.0,132.0,64.0,64.0,78.0,71.0,1032.0,259.0,65.0,36.0,14.0,52.0,147.0,60.0,45.5,72,€47.7M
Antonee Robinson,us USA,Fulham,DF,27-264,33.0,32.0,2899.0,0.0,10.0,8.0,0.0,0.7,4.1,110.0,120.0,257.0,0.0,0.31,0.02,0.13,N/a,N/a,N/a,N/a,12.5,0.06,0.0,22.1,1936.0,76.5,25356.0,86.5,78.9,41.0,109.0,50.0,26.0,120.0,74.0,2.3,11.0,0.34,84.0,56.0,86.0,25.0,36.0,6.0,30.0,56.0,2339.0,121.0,741.0,893.0,739.0,65.0,75.0,44.0,41.3,1252.0,3937.0,110.0,59.0,29.0,40.0,18.0,1402.0,257.0,30.0,17.0,6.0,158.0,142.0,45.0,64.3,72,€46.4M
Archie Gray,eng ENG,Tottenham,"DF,MF",19-048,24.0,15.0,1391.0,0.0,0.0,0.0,0.0,0.0,0.1,5.0,32.0,15.0,0.0,0.0,0.0,0.01,N/a,N/a,N/a,N/a,100.0,0.06,0.0,24.6,1029.0,88.6,15954.0,92.6,92.9,2.0,37.0,0.0,0.0,32.0,5.0,0.32,0.0,0.0,12.0,6.0,16.0,8.0,19.0,10.0,9.0,12.0,1138.0,134.0,546.0,520.0,82.0,2.0,10.0,50.0,40.0,798.0,1496.0,5.0,5.0,0.0,9.0,10.0,860.0,15.0,9.0,11.0,0.0,12.0,57.0,9.0,52.9,72,€58.2M
Arijanet Muric,xk KVX,Ipswich Town,GK,26-173,18.0,18.0,1620.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.83,70.0,5.6,0.0,N/a,0.0,N/a,N/a,633.0,71.7,11705.0,100.0,97.3,0.0,14.0,0.0,0.0,1.0,1.0,0.06,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,689.0,559.0,672.0,18.0,0.0,0.0,0.0,N/a,N/a,405.0,1178.0,0.0,0.0,0.0,3.0,1.0,321.0,0.0,0.0,4.0,0.0,0.0,26.0,11.0,91.7,71,€10.1M
Ashley Young,eng ENG,Everton,"DF,FW",39-294,28.0,17.0,1613.0,1.0,3.0,6.0,1.0,0.3,1.6,20.0,82.0,26.0,0.06,0.17,0.01,0.09,N/a,N/a,N/a,N/a,50.0,0.17,0.17,24.5,866.0,70.0,11151.0,87.9,76.1,19.0,71.0,18.0,9.0,82.0,37.0,2.06,6.0,0.33,50.0,28.0,50.0,10.0,10.0,3.0,7.0,23.0,1034.0,51.0,314.0,448.0,277.0,9.0,14.0,35.7,50.0,409.0,1210.0,20.0,24.0,1.0,8.0,1.0,528.0,26.0,24.0,17.0,0.0,64.0,61.0,10.0,50.0,72,€1.3M
Axel Tuanzebe,cd COD,Ipswich Town,DF,27-166,18.0,17.0,1445.0,0.0,1.0,5.0,1.0,0.2,0.3,9.0,45.0,8.0,0.0,0.06,0.01,0.02,N/a,N/a,N/a,N/a,0.0,0.0,0.0,15.7,644.0,83.1,8240.0,91.0,81.8,4.0,49.0,2.0,0.0,45.0,11.0,0.68,2.0,0.12,29.0,17.0,24.0,16.0,18.0,9.0,9.0,21.0,789.0,89.0,343.0,347.0,105.0,6.0,10.0,40.0,60.0,338.0,724.0,9.0,6.0,1.0,11.0,1.0,407.0,8.0,12.0,11.0,0.0,6.0,43.0,15.0,48.4,72,€4.2M
Bart Verbruggen,nl NED,Brighton,GK,22-254,32.0,32.0,2880.0,0.0,1.0,5.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.03,0.0,0.0,1.69,63.3,18.8,0.0,N/a,0.0,N/a,N/a,1178.0,78.0,21660.0,99.2,98.2,1.0,17.0,1.0,0.0,2.0,5.0,0.16,1.0,0.03,0.0,0.0,3.0,1.0,1.0,0.0,1.0,0.0,1258.0,999.0,1245.0,13.0,0.0,0.0,2.0,100.0,0.0,853.0,1588.0,0.0,1.0,1.0,2.0,0.0,815.0,0.0,0.0,2.0,0.0,0.0,58.0,10.0,90.9,73,€30.7M
Ben Davies,wls WAL,Tottenham,DF,32-005,13.0,11.0,1036.0,0.0,0.0,3.0,0.0,0.3,0.2,13.0,49.0,6.0,0.0,0.0,0.02,0.02,N/a,N/a,N/a,N/a,20.0,0.09,0.0,17.0,833.0,89.4,13969.0,93.4,94.7,2.0,41.0,2.0,0.0,49.0,8.0,0.69,0.0,0.0,13.0,9.0,13.0,35.0,23.0,15.0,8.0,11.0,965.0,169.0,502.0,419.0,44.0,12.0,1.0,100.0,0.0,558.0,1633.0,13.0,9.0,0.0,4.0,0.0,653.0,6.0,12.0,5.0,0.0,4.0,34.0,41.0,53.9,72,€5.6M
Ben Johnson,eng ENG,Ipswich Town,"DF,FW",25-095,22.0,14.0,1348.0,1.0,2.0,5.0,1.0,1.1,1.3,16.0,26.0,33.0,0.07,0.13,0.07,0.09,N/a,N/a,N/a,N/a,42.9,0.2,0.14,12.6,414.0,71.5,4812.0,86.2,74.8,12.0,21.0,3.0,2.0,26.0,23.0,1.54,5.0,0.33,38.0,22.0,41.0,18.0,22.0,5.0,17.0,13.0,624.0,60.0,245.0,219.0,163.0,12.0,24.0,33.3,58.3,259.0,585.0,16.0,12.0,3.0,23.0,17.0,290.0,33.0,27.0,6.0,1.0,37.0,57.0,19.0,51.4,72,€12.6M
